Model,Dice,IoU,Mean_3Fluid_Dice,Mean_3Fluid_IoU,Precision,Recall,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,IRF_Precision,SRF_Precision,PED_Precision,IRF_Recall,SRF_Recall,PED_Recall,Delta_Dice_vs_Base,Rel_Dice_vs_Base_%,Delta_IoU_vs_Base,Rel_IoU_vs_Base_%,Delta_Mean_3Fluid_Dice_vs_Base,Rel_Mean_3Fluid_Dice_vs_Base_%,Delta_Mean_3Fluid_IoU_vs_Base,Rel_Mean_3Fluid_IoU_vs_Base_%,Params_M,Delta_Precision_vs_Base,Rel_Precision_vs_Base_%,Delta_Recall_vs_Base,Rel_Recall_vs_Base_%
DeepLabV3+,0.8945641059198604,0.8541819905161427,0.8945641059198616,0.854181990516142,0.8937627390744938,0.9400901589865281,0.8416357995318842,0.9241307813861935,0.9179257368415069,0.7750142500435178,0.8981162661249206,0.8894154553799877,0.8368720144031597,0.9232444746760817,0.921171728144242,0.8963718116233954,0.9655318367871832,0.9583668285490033,0.023388083681514127,2.6846564970213738,0.029544332151445807,3.58270470087843,0.02338808368151568,2.6846564970215527,0.02954433215144725,3.582704700878615,12.213332,0.02145500531962019,2.4595683942026407,0.04339753236104682,4.839733379359271
nnU-Net Base,0.8711760222383462,0.8246376583646969,0.8711760222383459,0.8246376583646947,0.8723077337548736,0.8966926266254813,0.8040847682002421,0.9045151941443726,0.9049281043704229,0.7329050277482176,0.8719274868320094,0.8690804605138569,0.8038212256402195,0.905335974001193,0.9077660016231964,0.8364941306260271,0.9289418591751313,0.9246418900752785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89154,0.0,0.0,0.0,0.0
U-Net,0.8655773312457643,0.8208622231644132,0.865577331245765,0.8208622231644126,0.8642499333078157,0.9268879601543014,0.8264111373980693,0.8884075568961808,0.8819132994430449,0.7571925915270625,0.8569580481269501,0.8484360298392253,0.8268487843410011,0.8842260055595529,0.8816750100228922,0.8740948859540979,0.9563025181589705,0.950266476349824,-0.005598690992581923,-0.6426589862054501,-0.003775435200283783,-0.457829588788206,-0.005598690992580924,-0.6426589862053358,-0.003775435200282118,-0.4578295887880053,17.26202,-0.008057800447057839,-0.923733693426379,0.03019533352882009,3.3674118234309605
Attention U-Net,0.8610402576511764,0.8150888502916319,0.861040257651175,0.8150888502916301,0.8598279228747231,0.9225926513346459,0.8224225534371812,0.8795338575525318,0.8811643619638118,0.751836585693032,0.8470059379135793,0.8464240272682791,0.8233401695487268,0.8778408322988503,0.8783027667765907,0.869552531029728,0.9490113562310416,0.949214066743166,-0.010135764587169804,-1.1634577087105304,-0.009548808073065018,-1.1579398510614762,-0.010135764587170915,-1.1634577087106583,-0.009548808073064574,-1.1579398510614256,34.877616,-0.012479810880150488,-1.4306660823045538,0.025900024709164526,2.88839496836658
SegNet,0.808773799824445,0.7596571591977946,0.8087737998244453,0.7596571591977946,0.8115394642269366,0.9133648395205656,0.7892332332502087,0.8274243462766849,0.8096638199464423,0.7135719054456074,0.7927671103618956,0.7726324617858807,0.8062139932611307,0.8206333670114352,0.8077710324082431,0.8439535085666552,0.9524700363811975,0.9436709736138436,-0.062402222413901254,-7.162986677889598,-0.0649804991669023,-7.879885002555219,-0.06240222241390059,-7.162986677889524,-0.06498049916690007,-7.87988500255497,15.309252,-0.06076826952793701,-6.966379773610198,0.01667221289508425,1.8593007681825935
