Model,Image,Has_Lesion,Dice,IoU,Precision,Recall,GT_Lesion_Pixels,Pred_Lesion_Pixels,IRF_Dice,IRF_IoU,IRF_Precision,IRF_Recall,SRF_Dice,SRF_IoU,SRF_Precision,SRF_Recall,PED_Dice,PED_IoU,PED_Precision,PED_Recall
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice013.png,1,0.7270103834755561,0.5823143632508437,0.6636391694725028,0.8063176396313605,2703,3169,0.6198647945917837,0.44913338357196686,0.5886419753086419,0.6545853926414058,0.8341559723593287,0.7154953429297206,0.7386363636363636,0.9580498866213152,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice014.png,1,0.7656832168249985,0.64638198593797,0.7521445234134099,0.7820024182359272,2551,2737,0.6104140526976161,0.43927765237020316,0.5726898175397293,0.6534586971121558,0.920952380952381,0.853486319505737,0.9315992292870906,0.9105461393596986,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice015.png,1,0.7369307133302219,0.6035889594185708,0.7067182055749129,0.7756690892950056,3209,3328,0.595364558184452,0.42385699553111034,0.6116071428571429,0.5799623706491063,0.8784968684759916,0.7833209233060313,0.801829268292683,0.971375807940905,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice016.png,1,0.7828569460341686,0.6548831009762599,0.7361336607404894,0.8370208921590854,3628,4033,0.6805555555555556,0.5157894736842106,0.657088122605364,0.7057613168724279,0.8851583365127814,0.7939767282683093,0.8151791988756149,0.9682804674457429,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice017.png,1,0.7487950529298736,0.6130083184922445,0.7044206623998881,0.7996215039733647,4012,4635,0.6299642065791716,0.4598158745956706,0.5816808309726157,0.6869888475836431,0.8676258992805755,0.7662007623888183,0.8271604938271605,0.9122541603630863,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice018.png,1,0.7543157780740646,0.6209357522766934,0.6755747044547411,0.8558157197371589,4272,5580,0.6329270174355809,0.46297968397291195,0.5481026189203635,0.7488134355604235,0.8757045387125482,0.7788918205804749,0.8030467899891186,0.9628180039138943,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice019.png,1,0.7723383288903031,0.6465344913286813,0.6910936588983385,0.8806058747452863,4866,6513,0.6460591462598688,0.47716940106740463,0.54726819315348,0.7883736120182887,0.8986175115207373,0.8158995815899581,0.834919124643197,0.9728381374722838,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice020.png,1,0.795832473139656,0.6841361442707041,0.7350190487227215,0.8952488198922943,5516,7589,0.654385171790235,0.4863094238199227,0.5294440380395026,0.856508875739645,0.9372797744890768,0.8819628647214854,0.9405940594059405,0.9339887640449438,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice023.png,1,0.8510403600014904,0.749656476763934,0.8387658218103804,0.8686170698635081,7049,7655,0.7688593844296923,0.6245098039215686,0.7147933420609688,0.8317736670293797,0.9332213355732886,0.8748031496062992,0.962738301559792,0.9054604726976365,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice025.png,1,0.8205589349859399,0.7114182605199346,0.7689208529295852,0.8871754684421708,6147,7473,0.7075936318863819,0.5475008862105636,0.6191621567448387,0.8254943880277926,0.933524238085498,0.8753356348293058,0.9186795491143317,0.9488565488565489,,,,
