Model,Dice,IoU,Precision,Recall,Delta_Dice_vs_Base,Rel_Dice_vs_Base_%,Delta_IoU_vs_Base,Rel_IoU_vs_Base_%,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,Lesion_Case_Count,All_Case_Count,Params_M,IRF_Precision,IRF_Recall,SRF_Precision,SRF_Recall,PED_Precision,PED_Recall,Delta_Precision_vs_Base,Rel_Precision_vs_Base_%,Delta_Recall_vs_Base,Rel_Recall_vs_Base_%
Standard U-Net,0.8132911988043858,0.7110665583520835,0.8111323065902627,0.8307821791229196,0.07469649719592752,10.113326975303083,0.07944839758671163,12.578548642496115,0.7680210263146955,0.860749491809037,0.8551603716675439,0.6497296320830299,0.7781268827379872,0.7672105284638527,2517,2748,17.26202,0.7687689484725688,0.7848338041575166,0.8497639269295376,0.8852001190884466,0.8545343520631852,0.8693425254193758,0.06702814735827212,9.007898494674944,0.06948348991193265,9.126968284149498
Attention U-Net,0.8055413710708592,0.7004146588007338,0.8038570935069611,0.8224169564954011,0.06694666946240091,9.064060345492496,0.06879649803536192,10.892102588056813,0.7612047149168244,0.849865241418603,0.8445885932458369,0.6405764579986517,0.7644094840208181,0.7533204872043617,2517,2748,34.877616,0.762772882662971,0.7770711233181258,0.8454174108299232,0.866045135035123,0.8370707521613685,0.8665776863711171,0.059752934274970526,8.03018415279967,0.06111826728441416,8.028158743811495
nnU-Net + SDA/SASC,0.7876027224004052,0.6891677640629941,0.7713300151961496,0.821881151623765,0.04900802079194688,6.635306303338048,0.057549603297622154,9.11145481122418,0.7352922691991398,0.8402061014994698,0.8358128891621872,0.620170878231973,0.7650599494754917,0.7542681099126475,2517,2748,8.360324,0.7180819798262047,0.774877959490439,0.8286616371724365,0.8632499292097376,0.8146282140742025,0.8690575120073557,0.02722585596415905,3.658877003490959,0.06058246241277798,7.957778368903523
nnU-Net + ECA-Encoder,0.7813482744742788,0.6816662083386644,0.7724722794992286,0.8100286296986725,0.04275357286582049,5.788502513315468,0.05004804757329251,7.9237822282763535,0.7393117585846848,0.8285085712936874,0.820947033693536,0.6251158587202442,0.7491215115593751,0.7353571589293603,2517,2748,7.557555,0.7386048911936814,0.7627760461749702,0.807224531661244,0.863950668658643,0.8044984838210386,0.8538435964821469,0.028368120267238006,3.8123856607007123,0.04872994048768553,6.400896412706218
nnU-Net + ECA/CBAM,0.7743384386611292,0.6749836969404327,0.7824750480506528,0.7868798841860131,0.035743737052670865,4.839425056100556,0.04336553617506078,6.865783612445848,0.7284852074341536,0.8264906612654348,0.8173386309529305,0.6137831984587301,0.7482254942915013,0.7321940681687672,2517,2748,7.569732,0.7437931527779027,0.7372565564009737,0.8230989443283625,0.8429443068133984,0.8130490068339365,0.8391487374077192,0.03837088881866224,5.1566556029287405,0.02558119497502609,3.3602047839512954
nnU-Net + SASC,0.7723044693286618,0.6709530068204096,0.7635134020078432,0.8062187310149017,0.03370976772020351,4.564041367585336,0.039334846055037676,6.227630631673596,0.7267215588159357,0.825562226464045,0.8150328116798622,0.6102721381044705,0.7481661443302673,0.7253070198354712,2517,2748,8.360312,0.7057996024287073,0.7759325855864622,0.8240611194958131,0.8424349836424018,0.8139531050611672,0.8388847145264887,0.019409242775852653,2.6084040164330546,0.044920041803914734,5.90044911944746
nnU-Net + CBAM-Decoder,0.7718438583834437,0.6711010514390138,0.7853304397144997,0.7815886129840204,0.03324915677498541,4.501678214395229,0.03948289067364186,6.251069574345032,0.7227651906035852,0.825806313539869,0.8125606802711587,0.6067323923718454,0.7467204740715666,0.7266775274959205,2517,2748,7.569712,0.7351219989213478,0.7384637351951844,0.8292395642365573,0.8361397668629835,0.8325012769054135,0.8103731304013689,0.04122628048250909,5.540391082487674,0.020289923773033403,2.6651725611220956
nnU-Net + SDA,0.7652233330021176,0.6638979695570207,0.766439145566701,0.7870997177129168,0.02662863139365934,3.6053103732899014,0.03227980879164882,5.110652415778122,0.7117006791735125,0.8213700451124958,0.8080027617266354,0.5961691153196769,0.7420727498831776,0.7197230893119388,2517,2748,7.557552,0.7197600444172287,0.7306021926678624,0.8226445117990508,0.8349586562329834,0.7962725454869297,0.842057357284498,0.022334986334710427,3.0015940722281345,0.02580102850192978,3.389080904456839
nnU-Net Base,0.7385947016084583,0.6316181607653719,0.7441041592319906,0.761298689210987,0.0,0.0,0.0,0.0,0.6888214839871714,0.7950360946264126,0.7846485968798488,0.5671784952225492,0.7094232656678023,0.6904714221058981,2517,2748,1.89154,0.6883711054925552,0.7205757950049596,0.7971924114603928,0.8133195336547444,0.7921041861369507,0.8020228655081175,0.0,0.0,0.0,0.0
