Dataset,Model,Group,Case_Count,Dice,IoU,Mean_3Fluid_Dice,Mean_3Fluid_IoU,Precision,Recall,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,IRF_Precision,SRF_Precision,PED_Precision,IRF_Recall,SRF_Recall,PED_Recall,Delta_Dice_vs_Base,Rel_Dice_vs_Base_%,Delta_IoU_vs_Base,Rel_IoU_vs_Base_%,Delta_Mean_3Fluid_Dice_vs_Base,Rel_Mean_3Fluid_Dice_vs_Base_%,Delta_Mean_3Fluid_IoU_vs_Base,Rel_Mean_3Fluid_IoU_vs_Base_%,Params_M,Delta_Precision_vs_Base,Rel_Precision_vs_Base_%,Delta_Recall_vs_Base,Rel_Recall_vs_Base_%
RETOUCH,nnU-Net + SDA/SASC,Ablation,2690,0.909983749687042,0.8671053643187462,0.9099837496870432,0.8671053643187449,0.9019910933508326,0.9307447800850578,0.8461836113989577,0.9419338184048993,0.9418338192572726,0.777892318007964,0.9132142182334864,0.9102095567147843,0.8360370499618834,0.9363559164931884,0.9335803135974251,0.8744511095767082,0.9578068019392938,0.9599764287391668,0.02994450378155078,3.4026327713078572,0.03425352737128229,4.112799642350191,0.02994450378155311,3.4026327713081264,0.03425352737128318,4.112799642350308,8.360324,0.02111137567813215,2.39662410821636,0.02521685599785295,2.7847684568393825
RETOUCH,nnU-Net + ECA,Ablation,2690,0.9028320527805244,0.8592002557220356,0.9028320527805226,0.8592002557220345,0.897197419759852,0.9263874721056351,0.8455578631272064,0.9337785724477481,0.9291597227666129,0.7780069004377886,0.9035308999348282,0.896062966793487,0.8447960335751996,0.9246362216291111,0.9221600040752456,0.8668569446757971,0.9579169768555658,0.9543884947855398,0.022792806875033156,2.589976183571353,0.026348418774571725,3.163638189373865,0.02279280687503249,2.5899761835712805,0.026348418774572835,3.1636381893740073,7.557555,0.016317702087151553,1.8524324899048878,0.020859548018430263,2.3035786598692933
RETOUCH,nnU-Net + CBAM,Ablation,2690,0.9008878629349382,0.8567962922651958,0.9008878629349355,0.856796292265194,0.9058269189469764,0.9128109905828389,0.8364854035796402,0.9360480263130655,0.9301301589121009,0.7677222886615213,0.9057140975299021,0.8969524906041588,0.8430866244443127,0.9367802496415214,0.937613882755097,0.8536433746498541,0.9479156567276201,0.9368739403710397,0.02084861702944696,2.3690553718425784,0.023944455317731927,2.8749957982313172,0.020848617029445404,2.369055371842405,0.02394445531773237,2.874995798231378,7.569712,0.024947201274275965,2.8320780662525533,0.0072830664956340385,0.8042895532984866
RETOUCH,nnU-Net + ECA/CBAM,Ablation,2690,0.9006896640527253,0.8571192959570839,0.9006896640527223,0.8571192959570834,0.9022456165820031,0.91651712819295,0.8412521611126662,0.9349274516290409,0.9258893794164599,0.7735773510838678,0.9048132021202707,0.8929673346671118,0.8499337473581454,0.9326729152405075,0.9241301871473548,0.8509770188042726,0.9507600949215854,0.9478142708529904,0.020650418147234118,2.34653377600069,0.024267459009620018,2.9137786498213374,0.02065041814723223,2.346533776000478,0.024267459009621684,2.913778649821545,7.569732,0.021365898909302627,2.4255183177280664,0.01098920410574511,1.213568771699946
RETOUCH,nnU-Net + SASC,Ablation,2690,0.9001056585563444,0.8555988495947895,0.9001056585563442,0.855598849594787,0.8950329757943715,0.9245286239001215,0.8390033774910435,0.9328226439262216,0.9284909542517675,0.7700282309354644,0.9029493578022422,0.8938189600466544,0.8261709407484004,0.9314323780740772,0.9274956085606308,0.8751594334139169,0.9506217424077477,0.9478046958786905,0.020066412650853183,2.280172474604405,0.022747012647325593,2.7312196045213826,0.02006641265085407,2.2801724746045084,0.02274701264732537,2.731219604521363,8.360312,0.014153258121671008,1.6067185834479378,0.019000699812916633,2.0983008151923994
RETOUCH,nnU-Net + SDA,Ablation,2690,0.8988017448394395,0.854399724318335,0.8988017448394371,0.8543997243183331,0.8983128047202261,0.9154542465103775,0.8306222771893859,0.9372369438547308,0.9285460134741946,0.7621483149969783,0.9066214763118665,0.8944293816461545,0.8349456062779098,0.9362860524598138,0.9237067554229526,0.8484083665172765,0.9486752762703821,0.9492790967434684,0.018762498933948324,2.1320070691441937,0.0215478873708711,2.587241381353924,0.01876249893394699,2.1320070691440445,0.021547887370871432,2.587241381353971,7.557552,0.017433087047525664,1.9790541997702231,0.009926322423172707,1.0961917528030614
RETOUCH,nnU-Net Base,Ablation Base,2690,0.8800392459054912,0.8328518369474639,0.8800392459054901,0.8328518369474617,0.8808797176727005,0.9055279240872048,0.811390541709309,0.9146440560734561,0.9140831399337052,0.7392991284654408,0.8816083769762694,0.8776480054006747,0.8109933574651231,0.9152330906511484,0.9164127049018184,0.8425101451156741,0.9397251470078347,0.9343484801380987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89154,0.0,0.0,0.0,0.0
