Model,Dice,IoU,Precision,Recall,Accuracy,IRF_Dice,IRF_IoU,IRF_Precision,IRF_Recall,SRF_Dice,SRF_IoU,SRF_Precision,SRF_Recall,PED_Dice,PED_IoU,PED_Precision,PED_Recall
Standard U-Net (Baseline),0.8655773312457643,0.8208622231644132,0.8642499333078157,0.9268879601543014,0.995526781595777,0.8264111373980693,0.7571925915270625,0.8268487843410011,0.8740948859540979,0.8884075568961808,0.8569580481269501,0.8842260055595529,0.9563025181589705,0.8819132994430449,0.8484360298392253,0.8816750100228922,0.950266476349824
Attention U-Net,0.8610402576511764,0.8150888502916319,0.8598279228747231,0.9225926513346459,0.9954114966690975,0.8224225534371812,0.751836585693032,0.8233401695487268,0.869552531029728,0.8795338575525318,0.8470059379135793,0.8778408322988503,0.9490113562310416,0.8811643619638118,0.8464240272682791,0.8783027667765907,0.949214066743166
