Dataset,Model,Group,Case_Count,Dice,IoU,Mean_3Fluid_Dice,Mean_3Fluid_IoU,Precision,Recall,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,IRF_Precision,SRF_Precision,PED_Precision,IRF_Recall,SRF_Recall,PED_Recall,Delta_Dice_vs_Base,Rel_Dice_vs_Base_%,Delta_IoU_vs_Base,Rel_IoU_vs_Base_%,Delta_Mean_3Fluid_Dice_vs_Base,Rel_Mean_3Fluid_Dice_vs_Base_%,Delta_Mean_3Fluid_IoU_vs_Base,Rel_Mean_3Fluid_IoU_vs_Base_%,Params_M,Delta_Precision_vs_Base,Rel_Precision_vs_Base_%,Delta_Recall_vs_Base,Rel_Recall_vs_Base_%
DUKE,nnU-Net + ECA/CBAM,Ablation,58,0.5246210182352298,0.5030432025718471,0.5246210182352299,0.5030432025718472,0.5477471290224056,0.532670270571636,0.5937223506864618,0.45783422517178574,0.5223064788474421,0.5524190272413061,0.4430405313418765,0.5136700491323591,0.6154758490008041,0.5012301420799884,0.5265353959864246,0.6272474841421407,0.4512945858729913,0.519468741699776,0.06451519711098247,14.02181718834649,0.05937348192512887,13.382360607927604,0.06451519711098264,14.02181718834653,0.059373481925129035,13.382360607927643,7.569732,0.07300209766330068,15.377116734494203,0.04575264691230341,9.396383431032644
DUKE,nnU-Net + SDA/SASC,Ablation,58,0.5109021032541625,0.49374495517907335,0.5109021032541624,0.4937449551790736,0.525798088551163,0.5223387969669414,0.5364836304446097,0.5009242921330691,0.4952983871848086,0.5121453779022525,0.47769754409227894,0.4913919435426893,0.5299336205567748,0.5514250516440729,0.49603559345264087,0.5815563023573702,0.49067456700370926,0.49478552153974453,0.050796282129915216,11.040130291287523,0.05007523453235513,11.286601767495563,0.05079628212991516,11.040130291287513,0.050075234532355406,11.286601767495627,8.360324,0.05105305719205799,10.753784414742116,0.035421173307608855,7.274572039805845
DUKE,nnU-Net + ECA,Ablation,58,0.5016620560944482,0.4781891775056318,0.5016620560944484,0.47818917750563195,0.5296307150634758,0.5253434932831857,0.5217698661232913,0.4957862768993267,0.487430025260727,0.4887540270845695,0.46694789456273716,0.4788656108695891,0.5375055954449218,0.5359555188755019,0.5154310308700037,0.5982533264299994,0.4982022042115273,0.47957494920803045,0.041556234970200945,9.031886375325616,0.034519456858913555,7.780440100486468,0.04155623497020111,9.031886375325653,0.03451945685891378,7.780440100486519,7.557555,0.05488568370437086,11.561086494627139,0.03842586962385319,7.891657183215347
DUKE,nnU-Net + SASC,Ablation,58,0.4987241673350091,0.4821138052991465,0.4987241673350091,0.4821138052991463,0.525129331324851,0.5138735139089902,0.5284340973748121,0.4525030187564885,0.5152353858737267,0.4989940037164188,0.4422071050529785,0.5051403071280419,0.5435503696389451,0.4899108131101338,0.5419268112254741,0.5779433290106033,0.44852590454929414,0.5151513081670731,0.03861834621076182,8.393361795858109,0.03844408465242827,8.665023296246131,0.03861834621076188,8.393361795858121,0.03844408465242816,8.665023296246108,8.360312,0.050384299965746004,10.612917805902109,0.02695589024965761,5.536026822581606
DUKE,nnU-Net + CBAM,Ablation,58,0.4986967874610235,0.47962016199087787,0.4986967874610236,0.4796201619908779,0.5243323898687089,0.5018245277734725,0.5182877073602146,0.4624864055348571,0.5153162494879993,0.49056422917621373,0.4430808811287084,0.5052153756677115,0.5547093538392291,0.4904432512716868,0.527844564495211,0.5370517324222109,0.460501309790527,0.5079205411076799,0.03859096633677622,8.387411018291614,0.035950441344159645,8.102973827412931,0.03859096633677633,8.387411018291639,0.035950441344159756,8.102973827412956,7.569712,0.04958735850960394,10.445050550112075,0.014906904114139974,3.0614837890052327
DUKE,nnU-Net + SDA,Ablation,58,0.49085379611163893,0.4751298900423818,0.490853796111639,0.47512989004238193,0.5251553970998402,0.4899499537128672,0.5524269490185654,0.413546319110777,0.5065881202055746,0.5251890612726112,0.4033848731061086,0.49681573574842586,0.5753527756857303,0.48063228804594976,0.5194811275678406,0.5618933146489102,0.40396996312121397,0.5039865833684776,0.030747974987391624,6.682805036515376,0.031460169395663595,7.090898461541497,0.030747974987391735,6.682805036515401,0.03146016939566376,7.090898461541534,7.557552,0.05041036574073521,10.61840828463647,0.0030323300535346487,0.6227603820838883
DUKE,nnU-Net Base,Ablation Base,58,0.4601058211242473,0.4436697206467182,0.46010582112424725,0.44366972064671817,0.47474503135910495,0.48691762365933255,0.46524803131422027,0.43474556329549985,0.4803238687630216,0.4363510462080401,0.4229344784171946,0.47172363731491995,0.4711826978990057,0.446314529373953,0.5067378668043566,0.557475527571703,0.42882040624456913,0.4744569371617255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89154,0.0,0.0,0.0,0.0
RETOUCH,nnU-Net + SDA/SASC,Ablation,2690,0.909983749687042,0.8671053643187462,0.9099837496870432,0.8671053643187449,0.9019910933508326,0.9307447800850578,0.8461836113989577,0.9419338184048993,0.9418338192572726,0.777892318007964,0.9132142182334864,0.9102095567147843,0.8360370499618834,0.9363559164931884,0.9335803135974251,0.8744511095767082,0.9578068019392938,0.9599764287391668,0.02994450378155078,3.4026327713078572,0.03425352737128229,4.112799642350191,0.02994450378155311,3.4026327713081264,0.03425352737128318,4.112799642350308,8.360324,0.02111137567813215,2.39662410821636,0.02521685599785295,2.7847684568393825
RETOUCH,nnU-Net + ECA,Ablation,2690,0.9028320527805244,0.8592002557220356,0.9028320527805226,0.8592002557220345,0.897197419759852,0.9263874721056351,0.8455578631272064,0.9337785724477481,0.9291597227666129,0.7780069004377886,0.9035308999348282,0.896062966793487,0.8447960335751996,0.9246362216291111,0.9221600040752456,0.8668569446757971,0.9579169768555658,0.9543884947855398,0.022792806875033156,2.589976183571353,0.026348418774571725,3.163638189373865,0.02279280687503249,2.5899761835712805,0.026348418774572835,3.1636381893740073,7.557555,0.016317702087151553,1.8524324899048878,0.020859548018430263,2.3035786598692933
RETOUCH,nnU-Net + CBAM,Ablation,2690,0.9008878629349382,0.8567962922651958,0.9008878629349355,0.856796292265194,0.9058269189469764,0.9128109905828389,0.8364854035796402,0.9360480263130655,0.9301301589121009,0.7677222886615213,0.9057140975299021,0.8969524906041588,0.8430866244443127,0.9367802496415214,0.937613882755097,0.8536433746498541,0.9479156567276201,0.9368739403710397,0.02084861702944696,2.3690553718425784,0.023944455317731927,2.8749957982313172,0.020848617029445404,2.369055371842405,0.02394445531773237,2.874995798231378,7.569712,0.024947201274275965,2.8320780662525533,0.0072830664956340385,0.8042895532984866
