Model,Params_M,Dice,IoU,Precision,Recall,FG_Micro_Dice,FG_Micro_IoU,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,Case_Lesion_Dice_Mean,Case_Lesion_Dice_Median,Lesion_Case_Count,Params,IRF_Precision,IRF_Recall,IRF_GT_pixels,IRF_Pred_pixels,SRF_Precision,SRF_Recall,SRF_GT_pixels,SRF_Pred_pixels,PED_Precision,PED_Recall,PED_GT_pixels,PED_Pred_pixels,FG_Micro_Precision,FG_Micro_Recall,Case_Lesion_Dice_Std
Standard U-Net (Base),17.26202,0.8816267745256559,0.7920618031409418,0.8660318358118859,0.8979110344049395,0.8798942276979644,0.7855456595760687,0.80849901263848,0.9119980500638061,0.9243832608746818,0.6785550504904188,0.8382319996000837,0.8593983593323231,0.8132911961896975,0.8586387427062488,2517,17262020,0.7952156422397445,0.8222336956009867,1167921,1207602,0.8869098809134345,0.9385468838104083,964768,1020938,0.9159699842824789,0.9329525238034235,1178717,1200571,0.8647929448769667,0.8955322905134556,0.15599178345122328
Attention U-Net,34.877616,0.8770295480899942,0.7849554839094575,0.8716184512730424,0.882554551179101,0.8753943165565058,0.7784011137806862,0.8011653082972299,0.9100996127451457,0.9198237232276072,0.6682867236343413,0.8350300847561171,0.8515496433379142,0.8055413684578765,0.8466257616771425,2517,34877616,0.8018658835113673,0.8004659561734055,1167921,1165882,0.8995376093583735,0.9209125924574613,964768,987693,0.9134518609493866,0.9262851049064365,1178717,1195277,0.8705000997356707,0.8803438780989102,0.15751872783809934
