Model,Dice,IoU,Precision,Recall,Delta_Dice_vs_Base,Rel_Dice_vs_Base_%,FG_Micro_Dice,FG_Micro_IoU,Delta_FG_Micro_Dice_vs_Base,Rel_FG_Micro_Dice_vs_Base_%,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,Case_Lesion_Dice_Mean,Case_Lesion_Dice_Median,Lesion_Case_Count,IRF_GT_pixels,SRF_GT_pixels,PED_GT_pixels,IRF_Pred_pixels,SRF_Pred_pixels,PED_Pred_pixels,FG_Micro_Precision,FG_Micro_Recall,IRF_Precision,IRF_Recall,SRF_Precision,SRF_Recall,PED_Precision,PED_Recall,Delta_IoU_vs_Base,Rel_IoU_vs_Base_%,Delta_Precision_vs_Base,Rel_Precision_vs_Base_%,Delta_Recall_vs_Base,Rel_Recall_vs_Base_%,Delta_FG_Micro_IoU_vs_Base,Rel_FG_Micro_IoU_vs_Base_%,Case_Lesion_Dice_Std
nnU-Net + SDA/SASC (Ours),0.892501196568539,0.8095175773449625,0.8668555338274726,0.9199957195391528,0.0034826712191414755,0.3917433799000683,0.8899616393070939,0.8017395351558516,0.0035547989588561313,0.4010346938951393,0.8211602281555416,0.9252165834350646,0.9311267781150108,0.6965834100343616,0.8608400252323447,0.8711292967681812,0.7876027202323987,0.8530891286824058,2517,1167921,964768,1178717,1285493,1002834,1236692,0.8629961994531093,0.91866657244687,0.7836083121417231,0.862492411729903,0.9076567009096221,0.9434693107565757,0.9093015884310726,0.9540254361309797,0.006003051828228911,0.7470993538503112,0.002232799616294856,0.2582397533569261,0.00477388806399226,0.5216099419632151,0.005751491707891687,0.7225600629600045,0.2057915984487376
nnU-Net + ECA-Encoder,0.8916392878514489,0.8074358404310114,0.8712634394794145,0.9130287414862918,0.0026207625020513436,0.29479278860036634,0.8898351234734385,0.8015342065743589,0.003428283125200715,0.38676180836486596,0.8273178060606666,0.9205335853064158,0.9270664721872638,0.7054919144644798,0.8527672308987188,0.8640483759298356,0.7813482723755738,0.8484848227731873,2517,1167921,964768,1178717,1233531,1016396,1220166,0.8694890886209677,0.9111561675010554,0.8053157966844773,0.8505558167033558,0.8971542587731554,0.9451640187070881,0.9113202629806109,0.9433663890484315,0.003921314914277718,0.4880204140374379,0.006640705268236791,0.768046571698732,-0.0021930899888688016,-0.2396238718796693,0.005546163126398995,0.6967646275658652,0.21007195294194292
nnU-Net Base,0.8890185253493975,0.8035145255167336,0.8646227342111777,0.9152218314751606,0.0,0.0,0.8864068403482378,0.7959880434479599,0.0,0.0,0.8207709676763156,0.9214681206641824,0.9248164877076946,0.6960233722019012,0.8543726322041048,0.860147572144195,0.7766019152067583,0.8421052587257618,2517,1167921,964768,1178717,1290029,996079,1231612,0.8604129947807102,0.9140202077304928,0.7819258326750794,0.8636774233873695,0.9069852893194215,0.9364209841122425,0.9049570806390325,0.9455670869258694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21264700891342023
nnU-Net + CBAM-Decoder,0.8881869100945431,0.8024097417143535,0.8804733860290389,0.8962131009039669,-0.0008316152548544231,-0.0935430737540127,0.8857788939237754,0.7949758706717397,-0.0006279464244624,-0.07084178459359611,0.8174016238647781,0.9212162616113764,0.9259428448074749,0.6911912280279623,0.8539396997097811,0.8620982974053175,0.7718438562178719,0.8421686001605407,2517,1167921,964768,1178717,1221810,979123,1174560,0.8773702093294224,0.8943503152437363,0.7993755166515252,0.8362594730294258,0.9144632492546901,0.9280697535573319,0.9275813921809017,0.9243100761251428,-0.0011047838023801049,-0.13749394283440333,0.01585065181786116,1.8332448582123166,-0.019008730571193677,-2.07695335900754,-0.0010121727762202326,-0.12715929398082804,0.21710348768744372
nnU-Net + SDA,0.8834307992948776,0.7949269488373787,0.863007035226805,0.905017409649823,-0.005587726054519959,-0.6285275160406697,0.8810354700760336,0.7873667542758481,-0.0053713702722042456,-0.6059712118302274,0.8103998907810188,0.9171846559522585,0.9227078511513553,0.6812372363626277,0.8470369957297351,0.8565066144197735,0.7652233309717569,0.8382624765072725,2517,1167921,964768,1178717,1256566,989423,1235655,0.8594959737411407,0.9036823029251019,0.7818148827837137,0.8411544958948423,0.9057571938392376,0.9289041510497861,0.9014490290574635,0.9449935820048408,-0.008587576679354947,-1.0687518901829867,-0.0016156989843727487,-0.1868675111633285,-0.01020442182533754,-1.1149670467202455,-0.008621289172111801,-1.0830927980735987,0.21956419693767382
